step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,M_baryon,M_halo,M_total,Halo_Ratio,V_virial
1798,1.7989999999999127,0.04056291894408113,4133883900.075271,0.0,0.0,0.0,0.15427757191599611,1e-12,True,0.029729425652098525,0.010833493291982601,23.20344768190416,82677655.1230002,82677678.32644789,3563162.5201937323,9092.726653842918
1799,1.7999999999999126,0.03669616335843494,5103137911.369104,0.0,0.0,0.0,0.07386484344066238,1e-12,True,0.025531655278269817,0.011164508080165125,23.05581411741187,102062735.0239344,102062758.07974851,4426767.777522517,10102.61145582577
1800,1.8009999999999124,0.0383540958998374,3357978042.0079,0.0,0.0,0.0,0.07807920222453253,1e-12,True,0.026338763404264658,0.012015332495572737,22.985564214681638,67159537.7843439,67159560.76990812,2921813.7590255486,8195.093705392148
1801,1.8019999999999123,0.039067081748143745,3710922256.790169,0.0,0.0,0.0,0.1132999868731541,1e-12,True,0.02955198495789145,0.009515096790252302,23.327745804471604,74218422.15023914,74218445.47798495,3181551.3924552,8615.012776299485
1802,1.8029999999999122,0.04406338949558396,4971727158.269199,0.0,0.0,0.0,0.1812932207753025,1e-12,True,0.03323918199955219,0.010824207496031774,23.518007009123043,99434519.83763817,99434543.35564518,4228016.421410104,9971.687077189295
1803,1.8039999999999121,0.035248885759358986,6511480103.444153,0.0,0.0,0.0,0.0444302235843565,1e-12,True,0.024680015256591102,0.010568870502767875,22.947516198783852,130229578.55087605,130229601.49839225,5675105.637450327,11411.818525935429
1804,1.804999999999912,0.0372271193846878,2981592608.364101,0.0,0.0,0.0,0.0573070536863939,1e-12,True,0.024768832791864197,0.012458286592823607,23.04931957561883,59631829.21976583,59631852.2690854,2587140.545365868,7722.1662872073675
1805,1.805999999999912,0.038518211693488805,3024493845.539367,0.0,0.0,0.0,0.0603395459094388,1e-12,True,0.025604493155806644,0.012913718537682155,23.109840943447075,60489853.861467764,60489876.97130871,2617493.3010952855,7777.523829008005
1806,1.8069999999999118,0.039838736031936245,3338885476.46685,0.0,0.0,0.0,0.07140619431132099,1e-12,True,0.025916636775761108,0.013922099256175133,22.419628446664472,66777686.41949606,66777708.83912451,2978536.7128353333,8171.762938885158
1807,1.8079999999999117,0.03672636463234366,3479001163.6608624,0.0,0.0,0.0,0.10627025557745781,1e-12,True,0.025700581619130133,0.011025783013213528,22.031064540613542,69580000.85358882,69580022.88465336,3158267.759697318,8341.46409650112
